"problem_id","function_name","starter_code","language"
"1","solution","def solution(n, roads):
    answer = 0
    return answer","python"
"2","solution","def solution(n, roads):
    answer = []
    return answer","python"
"3","solution","def solution(heights):
    answer = 0
    return answer","python"
"4","solution","def solution(n, queries):
    answer = []
    return answer","python"
"6","solution","def solution(targets):
    answer = 0
    return answer","python"
"7","solution","def solution(r1, r2):
    answer = 0
    return answer","python"
"8","solution","def solution(n):
    answer = 0
    return answer","python"
"9","solution","def solution(sequence, k):
    answer = []
    return answer","python"
"10","solution","def solution(plans):
    answer = []
    return answer","python"
"11","solution","def solution(picks, minerals):
    answer = 0
    return answer","python"
"12","solution","def solution(board):
    answer = 0
    return answer","python"
"13","solution","def solution(temperature, t1, t2, a, b, onboard):
    answer = 0
    return answer","python"
"14","solution","def solution(m, n, startX, startY, balls):
    answer = []
    return answer","python"
"15","solution","def solution(sequence):
    answer = 0
    return answer","python"
"16","solution","def solution(maps):
    answer = 0
    return answer","python"
"17","solution","def solution(book_time):
    answer = 0
    return answer","python"
"18","solution","def solution(maps):
    answer = []
    return answer","python"
"19","solution","def solution(numbers):
    answer = []
    return answer","python"
"20","solution","def solution(k, n, reqs):
    answer = 0
    return answer","python"
"21","solution","def solution(x, y, n):
    answer = 0
    return answer","python"
"22","solution","def solution(weights):
    answer = 0
    return answer","python"
"23","solution","def solution(scores):
    answer = 0
    return answer","python"
"24","solution","def solution(cap, n, deliveries, pickups):
    answer = -1
    return answer","python"
"25","solution","def solution(users, emoticons):
    answer = []
    return answer","python"
"26","solution","def solution(numbers):
    answer = []
    return answer","python"
"28","solution","def solution(n, m, x, y, r, c, k):
    answer = ''
    return answer","python"
"29","solution","def solution(edges, target):
    answer = []
    return answer","python"
"30","solution","def solution(storey):
    answer = 0
    return answer","python"
"31","solution","def solution(n, l, r):
    answer = 0
    return answer","python"
"32","solution","def solution(data, col, row_begin, row_end):
    answer = 0
    return answer","python"
"33","solution","def solution(n, k, enemy):
    answer = 0
    return answer","python"
"34","solution","def solution(k, d):
    answer = 0
    return answer","python"
"35","solution","def solution(n, count):
    answer = 0
    return answer","python"
"36","solution","def solution(k, tangerine):
    answer = 0
    return answer","python"
"37","solution","def solution(e, starts):
    answer = []
    return answer","python"
"38","solution","def solution(numbers):
    answer = 0
    return answer","python"
"39","solution","def solution(arrayA, arrayB):
    answer = 0
    return answer","python"
"40","solution","def solution(k, ranges):
    answer = []
    return answer","python"
"42","solution","def solution(n, roads, sources, destination):
    answer = []
    return answer","python"
"43","solution","def solution(topping):
    answer = -1
    return answer","python"
"44","solution","def solution(order):
    answer = 0
    return answer","python"
"45","solution","def solution(beginning, target):
    answer = 0
    return answer","python"
"46","solution","def solution(clockHands):
    answer = 0
    return answer","python"
"47","solution","def solution(elements):
    answer = 0
    return answer","python"
"48","solution","def solution(cards):
    answer = 0
    return answer","python"
"49","solution","def solution(edges):
    answer = []
    return answer","python"
"50","solution","def solution(target):
    answer = []
    return answer","python"
"51","solution","def solution(want, number, discount):
    answer = 0
    return answer","python"
"52","solution","def solution(dice):
    answer = []
    return answer","python"
"53","solution","def solution(rc, operations):
    answer = [[]]
    return answer","python"
"54","solution","def solution(n, paths, gates, summits):
    answer = []
    return answer","python"
"55","solution","def solution(alp, cop, problems):
    answer = 0
    return answer","python"
"56","solution","def solution(queue1, queue2):
    answer = -2
    return answer","python"
"57","solution","def solution(board, aloc, bloc):
    answer = -1
    return answer","python"
"58","solution","def solution(board, skill):
    answer = 0
    return answer","python"
"59","solution","def solution(info, edges):
    answer = 0
    return answer","python"
"60","solution","def solution(n, info):
    answer = []
    return answer","python"
"61","solution","def solution(fees, records):
    answer = []
    return answer","python"
"62","solution","def solution(n, k):
    answer = -1
    return answer","python"
"63","solution","def solution(k, dungeons):
    answer = -1
    return answer","python"
"65","solution","def solution(q, a):
    answer = -1
    return answer","python"
"66","solution","def solution(n, m, x, y, queries):
    answer = -1
    return answer","python"
"67","solution","def solution(n, left, right):
    answer = []
    return answer","python"
"69","solution","def solution(n, wires):
    answer = -1
    return answer","python"
"70","solution","def solution(a, s):
    answer = []
    return answer","python"
"71","solution","def solution(a, b, g, s, w, t):
    answer = -1
    return answer","python"
"72","solution","def solution(grid):
    answer = []
    return answer","python"
"73","solution","def solution(word):
    answer = 0
    return answer","python"
"74","solution","def solution(k, num, links):
    answer = 0
    return answer","python"
"75","solution","def solution(n, start, end, roads, traps):
    answer = 0
    return answer","python"
"77","solution","def solution(places):
    answer = []
    return answer","python"
"78","solution","def solution(values, edges, queries):
    answer = []
    return answer","python"
"79","solution","def solution(s):
    answer = []
    return answer","python"
"80","solution","def solution(numbers):
    answer = []
    return answer","python"
"83","solution","def solution(n, z, roads, queries):
    answer = []
    return answer","python"
