id,problem_id,function_name,starter_code,language
1,1,solution,"def solution(edges):
    answer = []
    return answer",python
2,2,solution,"def solution(dice):
    answer = []
    return answer",python
3,3,solution,"def solution(coin, cards):
    answer = 0
    return answer",python
4,4,solution,"def solution(n, tops):
    answer = 0
    return answer",python
5,5,solution,"def solution(land):
    answer = 0
    return answer",python
6,6,solution,"def solution(h1, m1, s1, h2, m2, s2):
    answer = -1
    return answer",python
7,7,solution,"def solution(maze):
    answer = 0
    return answer",python
8,8,solution,"def solution(n, m, tests):
    answer = 0
    return answer",python
9,9,solution,"def solution(n, roads):
    answer = 0
    return answer",python
10,10,solution,"def solution(n, roads):
    answer = []
    return answer",python
11,11,solution,"def solution(heights):
    answer = 0
    return answer",python
12,12,solution,"def solution(n, queries):
    answer = []
    return answer",python
13,13,solution,"def solution(grid, d, k):
    answer = 0
    return answer",python
14,14,solution,"def solution(temperature, t1, t2, a, b, onboard):
    answer = 0
    return answer",python
15,15,solution,"def solution(k, n, reqs):
    answer = 0
    return answer",python
16,16,solution,"def solution(targets):
    answer = 0
    return answer",python
17,17,solution,"def solution(r1, r2):
    answer = 0
    return answer",python
18,18,solution,"def solution(n):
    answer = 0
    return answer",python
19,19,solution,"def solution(sequence, k):
    answer = []
    return answer",python
20,20,solution,"def solution(plans):
    answer = []
    return answer",python
21,21,solution,"def solution(picks, minerals):
    answer = 0
    return answer",python
22,22,solution,"def solution(board):
    answer = 0
    return answer",python
23,23,solution,"def solution(m, n, startX, startY, balls):
    answer = []
    return answer",python
24,24,solution,"def solution(*args):
    return None
",python
25,25,solution,"def solution(*args):
    return None
",python
26,26,solution,"def solution(*args):
    return None
",python
27,27,solution,"def solution(*args):
    return None
",python
28,28,solution,"def solution(sequence):
    answer = 0
    return answer",python
29,29,solution,"def solution(board):
    answer = -1
    return answer",python
30,30,solution,"def solution(maps):
    answer = 0
    return answer",python
31,31,solution,"def solution(*args):
    return None
",python
32,32,solution,"def solution(*args):
    return None
",python
33,33,solution,"def solution(*args):
    return None
",python
34,34,solution,"def solution(*args):
    return None
",python
35,35,solution,"def solution(book_time):
    answer = 0
    return answer",python
36,36,solution,"def solution(maps):
    answer = []
    return answer",python
37,37,solution,"def solution(numbers):
    answer = []
    return answer",python
38,38,solution,"def solution(x, y, n):
    answer = 0
    return answer",python
39,39,solution,"def solution(weights):
    answer = 0
    return answer",python
40,40,solution,"def solution(scores):
    answer = 0
    return answer",python
41,41,solution,"def solution(*args):
    return None
",python
42,42,solution,"def solution(*args):
    return None
",python
43,43,solution,"def solution(*args):
    return None
",python
44,44,solution,"def solution(cap, n, deliveries, pickups):
    answer = -1
    return answer",python
45,45,solution,"def solution(users, emoticons):
    answer = []
    return answer",python
46,46,solution,"def solution(numbers):
    answer = []
    return answer",python
47,47,solution,"def solution(commands):
    answer = []
    return answer",python
48,48,solution,"def solution(n, m, x, y, r, c, k):
    answer = ''
    return answer",python
49,49,solution,"def solution(edges, target):
    answer = []
    return answer",python
50,50,solution,"def solution(storey):
    answer = 0
    return answer",python
51,51,solution,"def solution(n, l, r):
    answer = 0
    return answer",python
52,52,solution,"def solution(data, col, row_begin, row_end):
    answer = 0
    return answer",python
53,53,solution,"def solution(*args):
    return None
",python
54,54,solution,"def solution(*args):
    return None
",python
55,55,solution,"def solution(*args):
    return None
",python
56,56,solution,"def solution(n, k, enemy):
    answer = 0
    return answer",python
57,57,solution,"def solution(k, d):
    answer = 0
    return answer",python
58,58,solution,"def solution(n, count):
    answer = 0
    return answer",python
59,59,solution,"def solution(k, tangerine):
    answer = 0
    return answer",python
60,60,solution,"def solution(e, starts):
    answer = []
    return answer",python
61,61,solution,"def solution(numbers):
    answer = 0
    return answer",python
62,62,solution,"def solution(arrayA, arrayB):
    answer = 0
    return answer",python
63,63,solution,"def solution(k, ranges):
    answer = []
    return answer",python
64,64,solution,"def solution(n, lighthouse):
    answer = 0
    return answer",python
65,65,solution,"def solution(*args):
    return None
",python
66,66,solution,"def solution(*args):
    return None
",python
67,67,solution,"def solution(n, roads, sources, destination):
    answer = []
    return answer",python
68,68,solution,"def solution(topping):
    answer = -1
    return answer",python
69,69,solution,"def solution(*args):
    return None
",python
70,70,solution,"def solution(*args):
    return None
",python
71,71,solution,"def solution(order):
    answer = 0
    return answer",python
72,72,solution,"def solution(beginning, target):
    answer = 0
    return answer",python
73,73,solution,"def solution(clockHands):
    answer = 0
    return answer",python
74,74,solution,"def solution(elements):
    answer = 0
    return answer",python
75,75,solution,"def solution(*args):
    return None
",python
76,76,solution,"def solution(*args):
    return None
",python
77,77,solution,"def solution(*args):
    return None
",python
78,78,solution,"def solution(*args):
    return None
",python
79,79,solution,"def solution(*args):
    return None
",python
80,80,solution,"def solution(*args):
    return None
",python
81,81,solution,"def solution(*args):
    return None
",python
82,82,solution,"def solution(cards):
    answer = 0
    return answer",python
83,83,solution,"def solution(target):
    answer = []
    return answer",python
84,84,solution,"def solution(want, number, discount):
    answer = 0
    return answer",python
85,85,solution,"def solution(*args):
    return None
",python
86,86,solution,"def solution(*args):
    return None
",python
87,87,solution,"def solution(*args):
    return None
",python
88,88,solution,"def solution(*args):
    return None
",python
89,89,solution,"def solution(*args):
    return None
",python
90,90,solution,"def solution(*args):
    return None
",python
91,91,solution,"def solution(*args):
    return None
",python
92,92,solution,"def solution(*args):
    return None
",python
93,93,solution,"def solution(rc, operations):
    answer = [[]]
    return answer",python
94,94,solution,"def solution(n, paths, gates, summits):
    answer = []
    return answer",python
95,95,solution,"def solution(alp, cop, problems):
    answer = 0
    return answer",python
96,96,solution,"def solution(queue1, queue2):
    answer = -2
    return answer",python
97,97,solution,"def solution(board, aloc, bloc):
    answer = -1
    return answer",python
98,98,solution,"def solution(board, skill):
    answer = 0
    return answer",python
99,99,solution,"def solution(info, edges):
    answer = 0
    return answer",python
100,100,solution,"def solution(n, info):
    answer = []
    return answer",python
101,101,solution,"def solution(fees, records):
    answer = []
    return answer",python
102,102,solution,"def solution(n, k):
    answer = -1
    return answer",python
103,103,solution,"def solution(k, dungeons):
    answer = -1
    return answer",python
104,104,solution,"def solution(rectangle, characterX, characterY, itemX, itemY):
    answer = 0
    return answer",python
105,105,solution,"def solution(q, a):
    answer = -1
    return answer",python
106,106,solution,"def solution(n, m, x, y, queries):
    answer = -1
    return answer",python
107,107,solution,"def solution(n, left, right):
    answer = []
    return answer",python
108,108,solution,"def solution(line):
    answer = []
    return answer",python
109,109,solution,"def solution(n, wires):
    answer = -1
    return answer",python
110,110,solution,"def solution(a, s):
    answer = []
    return answer",python
111,111,solution,"def solution(a, b, g, s, w, t):
    answer = -1
    return answer",python
112,112,solution,"def solution(grid):
    answer = []
    return answer",python
113,113,solution,"def solution(word):
    answer = 0
    return answer",python
114,114,solution,"def solution(game_board, table):
    answer = -1
    return answer",python
115,115,solution,"def solution(k, num, links):
    answer = 0
    return answer",python
116,116,solution,"def solution(n, start, end, roads, traps):
    answer = 0
    return answer",python
117,117,solution,"def solution(n, k, cmd):
    answer = ''
    return answer",python
118,118,solution,"def solution(places):
    answer = []
    return answer",python
119,119,solution,"def solution(values, edges, queries):
    answer = []
    return answer",python
120,120,solution,"def solution(s):
    answer = []
    return answer",python
121,121,solution,"def solution(numbers):
    answer = []
    return answer",python
122,122,solution,"def solution(*args):
    return None
",python
123,123,solution,"def solution(enroll, referral, seller, amount):
    answer = []
    return answer",python
124,124,solution,"def solution(rows, columns, queries):
    answer = []
    return answer",python
125,125,solution,"def solution(n, z, roads, queries):
    answer = []
    return answer",python
126,126,solution,"def solution(a, edges):
    answer = -2
    return answer",python
127,127,solution,"def solution(s):
    answer = -1
    return answer",python
128,128,solution,"def solution(sales, links):
    answer = 0
    return answer",python
129,129,solution,"def solution(board, r, c):
    answer = 0
    return answer",python
130,130,solution,"def solution(play_time, adv_time, logs):
    answer = ''
    return answer",python
131,131,solution,"def solution(n, s, a, b, fares):
    answer = 0
    return answer",python
132,132,solution,"def solution(info, query):
    answer = []
    return answer",python
133,133,solution,"def solution(orders, course):
    answer = []
    return answer",python
134,134,solution,"def solution(t):
    answer = 0
    return answer",python
135,135,solution,"def solution(a):
    answer = -1
    return answer",python
136,136,solution,"def solution(s):
    answer = []
    return answer",python
137,137,solution,"def solution(s):
    answer = -1
    return answer",python
138,138,solution,"def solution(n, edges):
    answer = 0
    return answer",python
139,139,solution,"def solution(arr):
    answer = []
    return answer",python
140,140,solution,"def solution(a):
    answer = -1
    return answer",python
141,141,solution,"def solution(a):
    answer = 0
    return answer",python
142,142,solution,"def solution(n):
    answer = []
    return answer",python
143,143,solution,"def solution(n, path, order):
    answer = True
    return answer",python
144,144,solution,"def solution(board):
    answer = 0
    return answer",python
145,145,solution,"def solution(gems):
    answer = []
    return answer",python
146,146,solution,"def solution(expression):
    answer = 0
    return answer",python
147,147,solution,"def solution(s):
    answer = []
    return answer",python
148,148,solution,"def solution(user_id, banned_id):
    answer = 0
    return answer",python
149,149,solution,"def solution(k, room_number):
    answer = []
    return answer",python
150,150,solution,"def solution(stones, k):
    answer = 0
    return answer",python
151,151,solution,"def solution(*args):
    return None
",python
