id,problem_id,input,output
1,1,"[[2, 3], [4, 3], [1, 1], [2, 1]]","[2, 1, 1, 0]"
2,1,"[[4, 11], [1, 12], [8, 3], [12, 7], [4, 2], [7, 11], [4, 8], [9, 6], [10, 11], [6, 10], [3, 5], [11, 1], [5, 3], [11, 9], [3, 8]]","[4, 0, 1, 2]"
3,2,"[[1, 2, 3, 4, 5, 6], [3, 3, 3, 3, 4, 4], [1, 3, 3, 4, 4, 4], [1, 1, 4, 4, 5, 5]]","[1, 4]"
4,2,"[[1, 2, 3, 4, 5, 6], [2, 2, 4, 4, 6, 6]]",[2]
5,2,"[[40, 41, 42, 43, 44, 45], [43, 43, 42, 42, 41, 41], [1, 1, 80, 80, 80, 80], [70, 70, 1, 1, 70, 70]]","[1, 3]"
6,3,4,"[3, 6, 7, 2, 1, 10, 5, 9, 8, 12, 11, 4]"
7,3,3,"[1, 2, 3, 4, 5, 8, 6, 7, 9, 10, 11, 12]"
8,3,2,"[5, 8, 1, 2, 9, 4, 12, 11, 3, 10, 6, 7]"
9,3,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
10,4,4,"[1, 1, 0, 1]"
11,4,2,"[0, 1]"
12,4,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,5,"[[0, 0, 0, 1, 1, 1, 0, 0], [0, 0, 0, 0, 1, 1, 0, 0], [1, 1, 0, 0, 0, 1, 1, 0], [1, 1, 1, 0, 0, 0, 0, 0], [1, 1, 1, 0, 0, 0, 1, 1]]",9
14,5,"[[1, 0, 1, 0, 1, 1], [1, 0, 1, 0, 0, 0], [1, 0, 1, 0, 0, 1], [1, 0, 0, 1, 0, 0], [1, 0, 0, 1, 0, 1], [1, 0, 0, 0, 0, 0], [1, 1, 1, 1, 1, 1]]",16
15,6,0,5
16,6,12,0
17,6,0,6
18,6,11,59
19,7,"[[1, 4], [0, 0], [2, 3]]",3
20,7,"[[1, 0, 2], [0, 0, 0], [5, 0 ,5], [4, 0, 3]]",7
21,7,"[[1, 5], [2, 5], [4, 5], [3, 5]]",0
22,7,"[[4, 1, 2, 3]]",0
23,8,3,5
24,8,99999,99999
25,8,300,100
26,9,6,"[[1, 2], [2, 6], [2, 4], [4, 3], [3, 2], [3, 5]]"
27,9,5,"[[1, 2], [2, 3], [3, 4], [4, 5]]"
28,9,8,"[[6, 4], [2, 3], [1, 6], [4, 5], [1, 2], [1, 8], [3, 7], [7, 2]]"
29,9,9,"[[1, 2], [1, 3], [1, 4], [2, 5], [4, 5], [5, 6], [5, 7], [6, 9], [7, 9], [5, 8]]"
30,10,5,"[[1, 2, 10, 0], [2, 4, 8, 0], [1, 3, 9, 0], [3, 4, 9, 0], [3, 5, 10, 6], [2, 5, 10, 2], [4, 5, 2, 0]]"
31,10,4,"[[1, 2, 10, 10], [2, 3, 10, 10], [3, 4, 10, 10]]"
32,10,4,"[[1, 2, 5, 0], [2, 4, 5, 0], [1, 3, 5, 0], [3, 4, 5, 0]]"
33,10,4,"[[1, 2, 5, 0], [2, 4, 5, 0], [1, 3, 5, 0], [3, 4, 5, 0], [1, 4, 5, 5]]"
34,11,"[1, 8, 5]",4
35,11,"[11, 6, 4, 11]",5
36,11,"[9, 9, 9, 9, 30]",0
37,12,4,"[[3, 2, 3], [1, 3, 2], [3, 2, 3], [1, 2, 0], [3, 0, 1], [2, 2, 0], [3, 2, 3], [3, 0, 2]]"
38,12,7,"[[1, 0, 1], [1, 2, 3], [3, 1, 3], [1, 2, 0], [3, 1, 3], [1, 1, 5], [1, 5, 4], [3, 4, 5], [2, 2, 5], [3, 4, 5]]"
39,13,"[[3, 4, 6, 5, 3], [3, 5, 5, 3, 6], [5, 6, 4, 3, 6], [7, 4, 3, 5, 0]]","[1, -2, -1, 0, 2]"
40,13,"[[3, 6, 11, 12], [4, 8, 15, 10], [2, 7, 0, 16]]","[1, -2, 5]"
41,13,"[[0, 0, 0], [1, 0, 0], [0, 0, 0], [0, 0, 1], [1, 0, 0]]","[0, 0, 1, -1, 0, 0, 1, -1]"
42,14,28,18
43,14,-10,-5
44,14,11,8
45,15,3,5
46,15,2,3
47,16,"[[4,5],[4,8],[10,14],[11,13],[5,12],[3,7],[1,4]]",3
48,17,2,3
49,18,2,3
50,18,3,10
51,19,"[1, 2, 3, 4, 5]",7
52,19,"[1, 1, 1, 2, 3, 4, 5]",5
53,19,"[2, 2, 2, 2, 2]",6
54,20,"[[""korean"", ""11:40"", ""30""], [""english"", ""12:10"", ""20""], [""math"", ""12:30"", ""40""]]","[""korean"", ""english"", ""math""]"
