scenario,prompt,method,first_sentence,first_sentence_length,first_audio_time,total_time,llm_time,tts_time,audio_files
문제설명,단계적구조,스트리밍(문장별),안녕하세요!,6,1.7164385318756104,21.336381196975708,0.6087942123413086,20.66961097717285,9
초단답,단계적구조,스트리밍(문장별),배열에 대해 잘 알고 계시네요.,17,1.7958447933197021,12.735537052154541,0.6374163627624512,12.072169065475464,6
보통설명,단계적구조,스트리밍(문장별),안녕하세요!,6,2.090453863143921,16.597432851791382,0.8534152507781982,15.694660902023315,8
초단답,단계적구조,최적화(첫문장우선),안녕하세요!,6,2.114952564239502,7.967019081115723,0.9448025226593018,6.709907293319702,2
문제설명,우선순위,최적화(첫문장우선),즉각 반응: 문제 정의부터 시작!,18,2.137049436569214,4.038119077682495,0.8216886520385742,3.2014541625976562,2
문제설명,우선순위,스트리밍(문장별),즉각 반응: 문제 정의부터 시작!,18,2.1970651149749756,12.731684684753418,0.872269868850708,11.830322027206421,6
보통설명,초간결,스트리밍(문장별),이진 탐색 트리는 정렬된 구조입니다.,20,2.21928334236145,8.103703737258911,0.865501880645752,7.221776485443115,4
초단답,초간결,최적화(첫문장우선),배열의 시간복잡도는 작업에 따라 다릅니다.,23,2.2648708820343018,3.636596202850342,0.9529621601104736,2.67376708984375,2
보통설명,단계적구조,최적화(첫문장우선),안녕하세요!,6,2.2879562377929688,12.30458927154541,0.6725928783416748,9.445396661758423,2
긴힌트,우선순위,스트리밍(문장별),즉각 반응: 두 포인터 활용!,16,2.3281986713409424,11.088430404663086,0.9365758895874023,10.12592101097107,5
긴힌트,단계적구조,스트리밍(문장별),이해가 잘 안되시군요.,12,2.3955533504486084,13.485510349273682,0.7739570140838623,12.682397365570068,6
짧은설명,짧은첫문장,스트리밍(문장별),좋은 질문이네요.,9,2.4076030254364014,24.84530735015869,0.7957284450531006,23.978779077529907,11
초단답,우선순위,최적화(첫문장우선),"O(1) 또는 O(n)  
접근은 O(1), 탐색은 O(n)  
계속 연습하세요!",45,2.418501853942871,2.419741153717041,1.0967073440551758,1.3217899799346924,1
짧은설명,우선순위,최적화(첫문장우선),즉각 반응: 동기화 여부 차이!,17,2.4916396141052246,5.80210542678833,0.7240245342254639,4.996291399002075,2
초단답,우선순위,기본(전체→TTS),"O(1) 또는 O(n)  
검색은 O(1), 순회는 O(n)  
더 깊이 알아보세요!.",48,2.525118112564087,2.525118589401245,1.184216022491455,1.340876817703247,1
문제설명,짧은첫문장,최적화(첫문장우선),좋은 질문이네요.,9,2.620387315750122,13.87598204612732,0.7340056896209717,9.378448009490967,2
긴힌트,짧은첫문장,최적화(첫문장우선),좋은 질문이네요.,9,2.646353006362915,16.257290601730347,0.6633257865905762,11.281619310379028,2
짧은설명,단계적구조,최적화(첫문장우선),안녕하세요!,6,2.647813558578491,6.67243504524231,0.7824018001556396,5.86961555480957,2
짧은설명,우선순위,스트리밍(문장별),즉각 반응: 동기화 여부 차이!,17,2.67417311668396,10.71163010597229,1.0323166847229004,9.656502723693848,5
초단답,짧은첫문장,최적화(첫문장우선),좋은 질문이네요.,9,2.7195091247558594,8.982884883880615,0.5440828800201416,8.031099319458008,2
짧은설명,초간결,최적화(첫문장우선),해시맵과 해시테이블은 다릅니다.,17,2.7349390983581543,4.384631872177124,1.1862831115722656,3.1898324489593506,2
긴힌트,단계적구조,최적화(첫문장우선),"알겠습니다, 도움이 필요하군요.",17,2.7550721168518066,10.223774433135986,0.7237839698791504,9.087056398391724,2
보통설명,짧은첫문장,스트리밍(문장별),좋은 질문이네요.,9,2.772139549255371,25.383487462997437,0.5688095092773438,24.74516248703003,10
보통설명,우선순위,스트리밍(문장별),즉각 반응: 정렬된 이진 트리!,17,2.7878270149230957,9.032846450805664,0.8181040287017822,8.198180913925171,5
긴힌트,우선순위,최적화(첫문장우선),즉각 반응: 두 개의 포인터!,16,2.811034917831421,6.008533954620361,0.7637166976928711,5.22883677482605,2
